Date,Comp,Venue,Result,GF,GA,Opponent,Poss,Shots_For,SoT_For,SoT%_For,Shots_Against,SoT_Against,SoT%_Against,XG_for,XG_against,Poss_last3,Poss_last5,Shots_For_last3,Shots_For_last5,ShotsT_For_last3,ShotsT_For_last5,Shots_Against3
2025-08-17,Premier League,0,0,1,3,Nottingham,45,10,3,30.0,11,5,45.5,1.32516,1.7555,,,,,,,
2025-08-23,Premier League,1,3,1,0,Aston Villa,24,9,2,22.2,17,2,11.8,1.12964,0.976852,,,,,,,
2025-08-30,Premier League,0,0,1,2,Sunderland,46,7,4,57.1,12,3,25.0,1.44604,1.57127,,,,,,,
2025-09-13,Premier League,1,1,2,2,Chelsea,34,7,4,57.1,16,6,37.5,1.17533,0.755999,38.3333,,8.6667,,3.0,,13.3333
2025-09-20,Premier League,0,0,1,3,Fulham,47,8,3,37.5,14,3,21.4,0.826556,1.52431,34.6667,,7.6667,,3.3333,,15.0
2025-09-27,Premier League,1,3,3,1,Manchester Utd,44,10,8,80.0,14,6,42.9,2.78726,2.23609,42.3333,39.2,7.3333,8.2,3.6667,3.2,14.0
2025-10-05,Premier League,1,0,0,1,Manchester City,30,6,1,16.7,10,4,40.0,0.693758,1.09647,41.6667,39.0,8.3333,8.2,5.0,4.2,14.6667
2025-10-20,Premier League,0,3,2,0,West Ham,57,22,7,31.8,7,1,14.3,3.46635,0.260251,40.3333,40.2,8.0,7.6,4.0,4.0,12.6667
2025-10-25,Premier League,1,3,3,2,Liverpool,34,17,8,47.1,18,5,27.8,3.27126,2.11838,43.6667,42.4,12.6667,10.6,5.3333,4.6,10.3333
2025-11-01,Premier League,0,0,0,2,Crystal Palace,65,6,2,33.3,9,2,22.2,0.820498,0.734558,40.3333,42.4,15.0,12.6,5.3333,5.4,11.6667
2025-11-09,Premier League,1,3,3,1,Newcastle,49,15,7,46.7,5,1,20.0,2.73729,0.432277,52.0,46.0,15.0,12.2,5.6667,5.2,11.3333
2025-11-22,Premier League,0,0,1,2,Brighton,36,10,4,40.0,14,5,35.7,2.19979,0.977488,49.3333,47.0,12.6667,13.2,5.6667,5.0,10.6667
2025-11-29,Premier League,1,3,3,1,Burnley,52,14,4,28.6,6,2,33.3,3.72106,0.874025,50.0,48.2,10.3333,14.0,4.3333,5.6,9.3333
2025-12-03,Premier League,0,0,0,2,Arsenal,38,6,1,16.7,15,7,46.7,0.588716,2.63126,45.6667,47.2,13.0,12.4,5.0,5.0,8.3333
2025-12-06,Premier League,0,0,0,2,Tottenham,47,4,1,25.0,15,7,46.7,0.470563,2.42388,42.0,48.0,10.0,10.2,3.0,3.6,11.6667
2025-12-14,Premier League,1,1,1,1,Leeds United,57,7,2,28.6,18,4,22.2,0.697006,1.63409,45.6667,44.4,8.0,9.8,2.0,3.4,12.0
2025-12-20,Premier League,0,3,2,0,Wolves,56,7,6,85.7,9,2,22.2,1.56309,1.26823,47.3333,46.0,5.6667,8.2,1.3333,2.4,16.0
2025-12-27,Premier League,1,3,4,1,Bournemouth,49,15,7,46.7,20,10,50.0,2.8513,2.56183,53.3333,50.0,6.0,7.6,3.0,2.8,14.0
2026-01-01,Premier League,1,1,0,0,Tottenham,56,7,2,28.6,9,3,33.3,0.556304,0.608309,54.0,49.4,9.6667,7.8,5.0,3.4,15.6667
2026-01-04,Premier League,0,3,4,2,Everton,55,11,7,63.6,14,6,42.9,3.05179,1.00566,53.6667,53.0,9.6667,8.0,5.0,3.6,12.6667
2026-01-07,Premier League,1,3,3,0,Sunderland,51,18,6,33.3,11,3,27.3,3.86096,1.50644,53.3333,54.6,11.0,9.4,5.3333,4.8,14.3333
2026-01-17,Premier League,0,0,0,2,Chelsea,54,15,5,33.3,6,2,33.3,1.47521,1.62263,54.0,53.4,12.0,11.6,5.0,5.6,11.3333
2026-01-25,Premier League,1,0,0,2,Nottingham,66,10,1,10.0,7,2,28.6,2.00413,1.38958,53.3333,53.0,14.6667,13.2,6.0,5.4,10.3333
2026-02-01,Premier League,0,3,1,0,Aston Villa,28,6,2,33.3,27,5,18.5,0.314916,2.15316,57.0,56.4,14.3333,12.2,4.0,4.2,8.0
2026-02-07,Premier League,0,3,3,2,Newcastle,46,11,5,45.5,16,4,25.0,1.65022,3.3215,49.3333,50.8,10.3333,12.0,2.6667,4.2,13.3333
2026-02-12,Premier League,1,1,1,1,Arsenal,40,12,3,25.0,7,2,28.6,1.81154,0.78418,46.6667,49.0,9.0,12.0,2.6667,3.8,16.6667
2026-02-21,Premier League,1,0,0,2,Brighton,52,13,3,23.1,11,7,63.6,1.69023,1.37203,38.0,46.8,9.6667,10.8,3.3333,3.2,16.6667
2026-02-28,Premier League,0,3,4,3,Burnley,58,16,7,43.8,12,3,25.0,2.44595,0.823824,46.0,46.4,12.0,10.4,3.6667,2.8,11.3333
2026-03-03,Premier League,0,1,0,0,Bournemouth,52,5,2,40.0,13,2,15.4,0.673328,2.3177,50.0,44.8,13.6667,11.6,4.3333,4.0,10.0
2026-03-16,Premier League,1,1,2,2,Wolves,49,10,3,30.0,13,4,30.8,2.7966,1.80044,54.0,49.6,11.3333,11.4,4.0,4.0,12.0
2026-03-21,Premier League,0,1,0,0,Leeds United,43,6,2,33.3,14,4,28.6,0.302221,0.417296,53.0,50.2,10.3333,11.2,4.0,3.6,12.6667
2026-04-11,Premier League,1,1,2,2,Everton,55,17,4,23.5,14,7,50.0,2.26302,1.57033,48.0,50.8,7.0,10.0,2.3333,3.4,13.3333
2026-04-18,Premier League,1,1,0,0,Fulham,48,13,4,30.8,11,0,0.0,2.33552,0.790707,49.0,51.4,11.0,10.8,3.0,3.6,13.6667
2026-04-27,Premier League,0,0,1,2,Manchester Utd,55,12,4,33.3,11,6,54.5,1.30383,1.84852,48.6667,49.4,12.0,10.2,3.3333,3.0,13.0
2026-05-02,Premier League,1,3,3,0,West Ham,48,14,6,42.9,13,4,30.8,2.27374,0.753895,52.6667,50.0,14.0,11.6,4.0,3.4,12.0
2026-05-09,Premier League,0,0,0,3,Manchester City,41,4,2,50.0,25,10,40.0,0.670038,4.37429,50.3333,49.8,13.0,12.4,4.6667,4.0,11.6667
2026-05-17,Premier League,1,1,2,2,Crystal Palace,58,14,3,21.4,16,5,31.3,1.54564,1.82274,48.0,49.4,10.0,12.0,4.0,4.0,16.3333
2026-05-24,Premier League,0,1,1,1,Liverpool,40,11,2,18.2,24,8,33.3,1.46082,2.99412,49.0,50.0,10.6667,11.4,3.6667,3.8,18.0
